,balance,balance,balance,balance,balance,balance_frequency,balance_frequency,balance_frequency,balance_frequency,balance_frequency,purchases,purchases,purchases,purchases,purchases,oneoff_purchases,oneoff_purchases,oneoff_purchases,oneoff_purchases,oneoff_purchases,installments_purchases,installments_purchases,installments_purchases,installments_purchases,installments_purchases,cash_advance,cash_advance,cash_advance,cash_advance,cash_advance,purchases_frequency,purchases_frequency,purchases_frequency,purchases_frequency,purchases_frequency,oneoff_purchases_frequency,oneoff_purchases_frequency,oneoff_purchases_frequency,oneoff_purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,purchases_installments_frequency,purchases_installments_frequency,purchases_installments_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_frequency,cash_advance_frequency,cash_advance_frequency,cash_advance_frequency,cash_advance_trx,cash_advance_trx,cash_advance_trx,cash_advance_trx,cash_advance_trx,purchases_trx,purchases_trx,purchases_trx,purchases_trx,purchases_trx,payments,payments,payments,payments,payments,tenure,tenure,tenure,tenure,tenure,minimum_payments,minimum_payments,minimum_payments,minimum_payments,minimum_payments,prc_full_payment,prc_full_payment,prc_full_payment,prc_full_payment,prc_full_payment,credit_limit,credit_limit,credit_limit,credit_limit,credit_limit,cluster,cluster,cluster,cluster,cluster
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,119162.83969696968,19702.570000000007,1261797.0543209391,-1894059.67,4472891.98,0.0,0.0,0.0,0,0,1113552.9215151516,37324.9,2006356.0573571182,1160.0,6275752.57,417914.4984848485,26802.33,840323.4530713375,747.0,3700000.0,695638.4230303031,15200.0,1594329.0346284355,103.72999999999956,4997793.43,18777.21424242424,0.0,59428.51754474309,0.0,301156.73,4.090909090909091,0.0,11.147767815698677,0,42,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6060606060606061,0.0,1.4777388541999297,0,5,82.0,3.0,316.76154280467824,0,1310,1232715.7612121215,130180.81,2573554.355708882,4000.0,9490685.41,42.36363636363637,43.0,17.23698454961414,5,70,8334.09090909091,6250.0,5315.5866701359755,3750.0,25000.0,0.0,0.0,0.0,0,0,166681.81818181818,125000.0,106311.73340271953,75000.0,500000.0,0.0,0.0,0.0,0,0
1,-806516.9059999998,-481.7399999999998,2514423.9062715396,-9356707.04,313804.84,0.0,0.0,0.0,0,0,3011062.755,116510.09,7207978.236779432,0.0,25350207.04,1005637.407,60745.0,2660260.2257101224,0.0,10010000.0,2005425.348,24530.235,4676748.328972984,0.0,15340207.04,12747.773500000001,0.0,46703.74662483309,0.0,245170.91000000003,0.075,0.0,0.2667467828369185,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.35,0.0,1.051250781273529,0,5,3.875,1.0,6.300946204890429,0,27,2204545.8490000004,242494.33,4841815.693446409,0.0,15993500.0,51.925,54.5,7.796736661200156,39,66,62.5,0.0,275.9017848289403,0.0,1250.0,0.0,0.0,0.0,0,0,1250.0,0.0,5518.035696578806,0.0,25000.0,1.0,1.0,0.0,1,1
2,-98900.78199999995,6615.9199999999955,455705.2597420738,-891074.92,595007.2700000005,0.0,0.0,0.0,0,0,711731.3329999999,610984.615,820954.9389078611,8045.88,2685491.7299999995,377994.124,306438.75,397302.5629813362,2369.1,999000.0,333737.2089999999,80346.30500000001,647181.0980308881,2500.0,2106454.1899999995,0.0,0.0,0.0,0.0,0.0,3.3,0.0,5.396500923952689,0,15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,3.8,4.0,2.6161889160464775,1,7,612830.551,177295.59,994373.0108536704,20500.7,3280499.0,28.9,28.0,4.201851443775179,25,36,2737.5,2500.0,544.7030281620333,1875.0,3500.0,0.0,0.0,0.0,0,0,54750.0,50000.0,10894.060563240666,37500.0,70000.0,2.0,2.0,0.0,2,2
3,449218.40311688284,20296.0,1816592.4611584179,-4058682.010000005,8802544.049999997,0.0,0.0,0.0,0,0,4693770.93,27721.01,17526236.049115248,0.0,87746669.39999999,1543455.005064935,10000.0,5876000.677179811,0.0,30047292.89,3150315.9249350647,7704.0,11719999.88679899,0.0,57699376.50999999,879448.7055844154,0.0,4549799.822128624,0.0,38694493.78999999,0.4805194805194805,0.0,1.7667274952234924,0,12,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5454545454545454,0.0,1.2829392091420648,0,6,1.077922077922078,0.0,1.8119939131290363,0,7,5142989.3331168825,93200.0,17115162.96822477,0.0,83687987.38999999,15.493506493506494,13.0,9.649956881037257,4,38,105.51948051948052,0.0,342.36559446505544,0.0,1250.0,0.0,0.0,0.0,0,0,2110.3896103896104,0.0,6847.311889301109,0.0,25000.0,3.0,3.0,0.0,3,3
4,216599128.87882334,65639.4,437844340.87326473,-78799446.60000038,980591166.9799995,0.0,0.0,0.0,0,0,1301334163.9505882,7238932.38,1604542859.2927463,0.0,3428029179.91,635198843.9305882,1382002.0,907994663.0036528,0.0,2150000000.0,666135320.02,5856930.38,849690127.0254532,0.0,2045993345.78,422595611.14117646,0.0,1215352369.1053877,0.0,4408620346.889999,13.588235294117647,4.0,19.07242388741338,0,46,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.176470588235294,0.0,11.78046738311795,0,41,9.0,1.0,15.451537140362444,0,41,1517933292.8294117,7108539.31,1940679165.16388,40785.14000000001,4408620346.889999,58.05882352941177,34.0,40.55007797192765,22,125,367.6470588235294,0.0,857.4929257125442,0.0,2500.0,0.0,0.0,0.0,0,0,7352.941176470588,0.0,17149.858514250885,0.0,50000.0,4.0,4.0,0.0,4,4
5,-61282.907857142236,0.0,1226257.0255891948,-4542631.209999999,2691262.58,0.0,0.0,0.0,0,0,3852374.165238095,243248.23,6599345.806076093,0.0,24570648.99,759839.3371428571,71508.51,986176.3394955916,0.0,3063182.55,3092534.828095238,138608.58500000002,5857066.437662282,0.0,22476301.05,1447617.155,0.0,4491686.954448356,0.0,24226281.970000003,0.47619047619047616,0.0,0.8035923987456072,0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9523809523809523,0.0,1.8206455696702877,0,6,1.0714285714285714,0.0,1.9430031713926283,0,6,3791091.257380953,357568.575,6228170.871579778,0.0,24226281.970000003,120.52380952380952,125.0,14.019564892239408,74,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5,5
