prediction,schm_type,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,payments,tenure,minimum_payments,prc_full_payment,credit_limit,new_balance_balance_frequency,new_oneoff_purchases_purchases,new_installments_purchases_purchases,new_cash_advance_purchases_purchases,new_purchases_purchases_frequency,new_purchases_oneoff_purchases_frequency,new_purchases_purchases_trx,new_cash_advance_cash_advance_trx,new_balance_credit_limit,new_payments_credit_limit
0,,-752.0969099048328,0.0,327151.4329269027,225559.7211647303,101591.7117621724,0.0,2.9725440406284718,0.015365105065175359,0.0,0.7469038849881519,0.0,0.9789914909458742,326399.33601699787,35.350080583600516,7167.692060484301,0.6688046232398798,143353.84120968592,0.0,0.7331343405209916,0.11677454093734285,0.0,1724248.1907808285,22492.29900703604,141037.40383659874,0.0,0.019495814999563432,119.89232659055743
1,,3069066.2951963623,0.0,1117559922.5981412,210706683.1020806,891918094.9362338,0.0,58.712239818407475,0.019195049435831998,0.0,1.0,0.0,2.308109211895602,1119354687.7467966,25.597633136094675,0.0,0.5443786982248521,0.0,0.0,0.19098250839150438,0.7933656783855694,0.0,66087931231.80861,21011306.463524707,245884026.3145959,0.0,0.0,0.0
2,,-5823449.005197467,0.0,55771931.70870968,27978298.116451614,27793633.592258066,39337659.386676975,15.32258064516129,0.0,0.0,0.9032258064516129,1.0850908469840528,0.0,44540291.853548385,36.935483870967744,6129.032322580645,0.45161290322580644,122580.6464516129,0.0,0.49123649825961785,0.5087635017403821,32630114.607419353,702490450.13,0.0,0.0,36238802.81527734,-4.948372397265614,1468.8216032199252
3,,-4010163.0593609866,0.0,320413000.609917,87611280.48801966,227332250.32575223,69750699.28579138,33.477692779667045,0.02002446515219511,0.0,1.0,1.0875903226936738,0.0,311797918.71016467,24.59259259259259,4513.888944444444,0.4074074074074074,90277.7788888889,0.0,0.4320877657733384,0.5632063498443122,69750699.28579138,17309239179.353325,2706104.4422948975,0.0,64161099.312697746,-4.15240958688374,4656.264635724022
4,,-1161250.1704229475,0.0,395533320.0248372,133630840.91636947,239638392.38618603,0.0,45.00145178298451,0.03772050412390241,0.0,0.9488372093023256,0.0,1.2601829590093274,385837825.5902308,15.409302325581395,616.2790674418604,0.5534883720930233,12325.58134883721,0.0,0.3585328072742287,0.6020668067702508,0.0,17298251652.50622,15229804.560400905,75431439.81177866,0.0,-0.15087108216382258,580.2178400926275
5,,-829485.952182891,0.0,7333798.236017699,3846814.5617404133,3486983.674277286,6504312.283834808,12.031995745063467,0.02392303358890566,0.0,0.9144542772861357,1.085324541711809,0.0,6504312.283834808,41.3716814159292,7879.659920353983,0.37168141592920356,157593.19840707965,0.0,0.539557919835516,0.46044208016448396,5684317.935958702,94849268.44110458,211881.8788282947,0.0,5994452.479292304,-2.9470854720325743,738.8286908555035
6,,-2115193.0425274726,0.0,19604106.11901099,9730447.735824177,9873658.383186813,17488913.076483518,12.054945054945055,0.01782397447612971,0.0,0.9560439560439561,1.0879605269316015,0.0,17488913.076483518,39.89010989010989,8549.45062087912,0.37362637362637363,170989.01241758242,0.0,0.511695693540855,0.488304306459145,16318392.145934066,239922873.73219782,419334.16088334715,0.0,16087072.185605105,-1.0712587747502476,1686.8318119003034
7,,-283561.39172202535,0.0,988193.8456591163,607321.8512216858,380871.99443743034,689340.2888414407,7.162920260908847,0.029110947297008485,0.0,0.7545488303007798,1.0537046978028433,0.0025993316004456,690383.8663943558,41.78282410547203,7188.136224285183,0.4262903824730784,143762.7244857037,0.0,0.7021993820895779,0.2978006179104221,521930.18198291864,9645843.061275728,32724.799887130474,936.4213330857779,640427.2226673234,-3.6217133204693943,233.34446495520896
8,,-777063.7226325974,0.0,15317828.67602659,7358472.646041784,7959356.029984806,0.0,28.410198747984165,0.03553058944953594,0.0,0.8981956315289649,0.0,1.6679275463123808,14482935.025126304,32.90332383665717,7896.568442450142,0.5247863247863248,157931.36884900284,0.0,0.5328296827290312,0.46717031727096886,0.0,377746242.82116985,515353.45398259355,3327993.980728908,0.0,-4.346749749719916,883.183480871218
