prediction,purchases,oneoff_purchases,installments_purchases,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency
0,10077421.898878543,4690803.717830441,5386618.181048103,31.45730707441954,0.00015253507098582817,0.0
1,366105.1524079722,230981.16506155743,135123.98734641477,2.583657565734148,0.0,0.0
2,2212591.218757895,1688273.60395614,524317.6148017544,5.980261144781588,0.5406605591092679,0.0
3,1119117400.5315065,211531700.68896472,887807759.5334218,58.13895646763639,0.021626422364370717,0.0
4,384216871.82022226,134498605.8713723,231952247.25417778,44.80982150396746,0.036044037273951196,0.0
